2025-08-21 22:05:10,072 - bs4.dammit - WARNING - Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2025-08-21 22:05:10,868 - bs4.dammit - WARNING - Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2025-08-21 22:05:12,147 - bs4.dammit - WARNING - Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2025-08-21 22:05:12,982 - bs4.dammit - WARNING - Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2025-08-21 22:05:13,125 - bs4.dammit - WARNING - Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2025-08-21 22:05:13,262 - bs4.dammit - WARNING - Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2025-08-21 22:05:14,173 - bs4.dammit - WARNING - Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2025-08-21 22:05:14,559 - bs4.dammit - WARNING - Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2025-08-21 22:05:15,282 - bs4.dammit - WARNING - Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2025-08-21 22:05:15,644 - bs4.dammit - WARNING - Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2025-08-21 22:05:16,464 - bs4.dammit - WARNING - Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2025-08-21 22:05:17,172 - bs4.dammit - WARNING - Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2025-08-21 22:05:17,472 - bs4.dammit - WARNING - Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2025-08-21 22:05:18,766 - bs4.dammit - WARNING - Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2025-08-21 22:05:19,404 - bs4.dammit - WARNING - Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2025-08-21 22:05:19,653 - app.core.commands.clear_tags - INFO - Обработка завершена для scan_id=301.
2025-08-21 22:05:19,883 - httpx - INFO - HTTP Request: POST http://testserver/scan/clear_tags "HTTP/1.1 200 OK"
2025-08-21 22:11:23,386 - app.api.routing - INFO - Регистрируем команду: clear_tags → clear_tags_command
2025-08-22 20:36:13,065 - app.api.routing - INFO - Регистрируем команду: clear_tags → clear_tags_command
2025-08-22 20:49:19,322 - app.api.routing - INFO - Регистрируем команду: clear_tags → clear_tags_command
2025-08-22 20:54:07,232 - app.core.commands.clear_tags - ERROR - Ошибка при обработке scan_id=17: list indices must be integers or slices, not str
2025-08-22 21:15:42,951 - app.core.commands.clear_tags - INFO - Обработка завершена для scan_id=17.
2025-08-22 21:15:42,953 - app.api.routing - INFO - Регистрируем команду: clear_tags → clear_tags_command
2025-08-22 21:15:59,016 - app.core.commands.clear_tags - INFO - Обработка завершена для scan_id=17.
2025-08-22 21:15:59,016 - app.api.routing - INFO - Регистрируем команду: clear_tags → clear_tags_command
2025-08-22 21:16:13,995 - app.core.commands.clear_tags - INFO - Обработка завершена для scan_id=17.
2025-08-22 21:16:13,997 - app.api.routing - INFO - Регистрируем команду: clear_tags → clear_tags_command
